run_group,t,trial,prompt_id,concurrency,n,model,engine,prompt_length,ttft_ms,client_decode_ms,tokens_predicted,tokens_evaluated,tokens_cached,stop_type,truncated,prompt_ms,prompt_per_token_ms,prompt_per_second,predicted_ms,predicted_per_token_ms,predicted_per_second,wall_ms,nodes_cpu_pct,nodes_net_rx_kb,nodes_net_tx_kb,peak_memory_mb
vanilla,46,1,1,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,11349,32869,427,146,30,stop,False,11317.125,77.51455479452055,12.900802986624255,32870.613,76.98035831381732,12.99032664830437,44219,0.4,15.8,0.1,6268.0
vanilla,46,1,2,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,1199,80395,1024,23,30,length,True,1155.231,50.2274347826087,19.90943802581475,80395.734,78.511458984375,12.736994229071906,81594,0.4,1.9,0.8,6268.0
vanilla,46,1,3,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,1211,53311,696,23,30,stop,False,1158.326,50.362,19.856240816488622,53312.187,76.5979698275862,13.055176295806437,54523,0.4,1.5,0.6,6268.0
vanilla,46,1,1,2,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,22704,63504,462,146,30,stop,False,11292.191,77.34377397260275,12.929288921875301,63505.614,137.45803896103897,7.274947377093306,86209,0.3,13.9,1.2,6478.5
vanilla,46,1,1,2,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,11412,86331,611,146,30,stop,False,11378.317,77.93367808219178,12.831423135776584,86332.354,141.29681505728314,7.077300359492108,97744,0.4,13.9,1.2,6478.5
vanilla,46,1,2,2,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,7872,120135,847,23,30,stop,False,7805.385,339.3645652173913,2.9466836036915542,120136.607,141.83778866587957,7.050307322230267,128007,0.4,7.0,0.4,6478.5
vanilla,46,1,2,2,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,7871,122705,879,23,30,stop,False,7805.463,339.36795652173913,2.946654157479191,122706.402,139.59772696245733,7.163440420981458,130577,0.4,8.1,0.4,6478.5
vanilla,46,1,3,2,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,8165,96691,705,23,30,stop,False,8091.079,351.78604347826086,2.8426369338378725,96692.421,137.15237021276596,7.291160907016693,104857,0.4,73.3,1.2,6478.5
vanilla,46,1,3,2,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,8166,97947,721,23,30,stop,False,8091.088,351.7864347826087,2.842633771873449,97949.511,135.8523037447989,7.360935165873365,106114,0.4,73.3,1.2,6478.5
vanilla,46,1,1,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,28323,95930,383,146,30,stop,False,17200.139,117.80917123287671,8.488303495686868,95931.511,250.47391906005222,3.9924316421952324,124254,0.3,6.4,1.3,6889.8
vanilla,46,1,1,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,28324,107562,434,146,30,stop,False,17200.643,117.81262328767123,8.488054777952195,107563.284,247.84166820276496,4.034834042441471,135886,0.3,6.4,1.3,6889.8
vanilla,46,1,1,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,28325,108900,443,146,30,stop,False,17199.642,117.80576712328767,8.488548773282606,108902.318,245.82916027088035,4.067865662877809,137225,0.3,6.4,1.3,6889.8
vanilla,46,1,1,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,11124,130598,501,146,30,stop,False,11082.861,75.91000684931507,13.173493739567787,130598.77,260.6761876247505,3.836177017593657,141722,0.3,6.5,1.4,6889.8
vanilla,46,1,2,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,9662,231889,883,23,30,stop,False,9568.11,416.0047826086957,2.4038185179727236,231891.268,262.6175175537939,3.8078191025286903,241552,0.4,81.4,1.6,6889.8
vanilla,46,1,2,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,9662,234822,895,23,30,stop,False,9567.565,415.9810869565218,2.4039554473891735,234823.141,262.3722245810056,3.8113790497334334,244484,0.4,81.6,1.7,6889.8
vanilla,46,1,2,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,9662,236827,907,23,30,stop,False,9567.777,415.9903043478261,2.4039021812485806,236828.62,261.11203969128997,3.8297736143545493,246489,0.4,81.6,1.7,6889.8
vanilla,46,1,2,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,9662,236906,908,23,30,stop,False,9568.462,416.0200869565217,2.4037300874477006,236907.916,260.9118017621145,3.8327127912433285,246569,0.4,81.6,1.7,6889.8
vanilla,46,1,3,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,9945,161861,642,23,30,stop,False,9816.031,426.7839565217392,2.3431058846493045,161862.569,252.12238161993767,3.9663277554923773,171807,0.5,61.0,1.4,6889.8
vanilla,46,1,3,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,9948,180580,722,23,30,stop,False,9816.104,426.78713043478257,2.343088459535474,180581.743,250.11321745152352,3.9981893407685183,190529,0.5,74.4,1.4,6889.8
vanilla,46,1,3,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,9945,186903,760,23,30,stop,False,9816.007,426.78291304347823,2.343111613510463,186904.679,245.9272092105263,4.06624384186765,196849,0.5,79.5,1.4,6889.8
vanilla,46,1,3,4,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,9946,197713,891,23,30,stop,False,9816.318,426.7964347826087,2.343037379188409,197715.114,221.90248484848485,4.506484011131288,207660,0.5,86.4,1.4,6889.8
vanilla,46,1,1,8,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,36255,226150,383,176,0,stop,False,24952.041,141.77296022727273,7.053531212136113,226152.047,590.475318537859,1.6935508879121488,262406,0.4,53.3,1.4,7706.2
vanilla,46,1,1,8,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,11328,260178,403,146,30,stop,False,11282.66,77.27849315068494,12.94021090771148,260179.329,645.6062754342431,1.5489316601320007,271506,0.4,60.3,1.4,7706.2
vanilla,46,1,1,8,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,65999,238285,477,146,30,stop,False,29719.193,203.55611643835616,4.912650219001573,238285.64,499.55060796645705,2.001799185213175,304285,0.4,84.5,1.4,7706.2
vanilla,46,1,1,8,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,65985,238682,478,176,0,stop,False,54669.896,310.62440909090907,3.2193220195626493,238683.403,499.3376631799163,2.0026528614559767,304667,0.4,85.0,1.4,7706.2
