run_group,t,trial,prompt_id,concurrency,n,model,engine,prompt_length,ttft_ms,client_decode_ms,tokens_predicted,tokens_evaluated,tokens_cached,stop_type,truncated,prompt_ms,prompt_per_token_ms,prompt_per_second,predicted_ms,predicted_per_token_ms,predicted_per_second,wall_ms,nodes_cpu_pct,nodes_net_rx_kb,nodes_net_tx_kb,peak_memory_mb
vanilla,46,1,1,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,short,646,507,8,12,30,stop,False,614.365,51.19708333333333,19.53236268342109,508.132,63.5165,15.74394055088048,1154,1.8,0.4,0.0,6056.4
vanilla,46,1,2,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,short,499,3483,49,9,33,stop,False,467.512,51.94577777777778,19.250842759116345,3484.319,71.10855102040816,14.06300628616381,3983,1.8,2.6,0.0,6056.4
vanilla,46,1,3,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,short,503,798,12,9,33,stop,False,469.104,52.12266666666667,19.18551110201576,799.257,66.60475,15.013944200676377,1301,1.8,1.0,0.0,6056.4
vanilla,46,1,1,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,11309,35205,457,146,30,stop,False,11275.699,77.23081506849316,12.948199486346699,35205.936,77.0370590809628,12.980765516360648,46514,24.9,45.8,0.6,6699.9
vanilla,46,1,2,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,1214,76703,979,23,30,stop,False,1164.832,50.6448695652174,19.745336666575092,76704.467,78.34981307456589,12.763272313723267,77918,24.9,67.7,0.0,6699.9
vanilla,46,1,3,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,1236,62883,806,23,30,stop,False,1177.362,51.189652173913046,19.535198180338757,62884.159,78.02004838709678,12.817218403127567,64119,24.9,44.6,0.2,6699.9
vanilla,46,2,1,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,149,28622,372,1,175,stop,False,75.879,75.879,13.178876896110912,28623.287,76.94431989247312,12.996410929324785,28771,24.9,24.4,0.0,6699.9
vanilla,46,2,2,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,1224,66293,856,23,30,stop,False,1176.034,51.131913043478264,19.55725769833185,66294.651,77.44702219626168,12.912052286088661,67518,24.9,54.9,0.6,6699.9
vanilla,46,2,3,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,1217,46191,606,23,30,stop,False,1161.56,50.50260869565217,19.800957333241502,46192.169,76.22470132013201,13.119106833887795,47408,25.0,29.1,0.0,6699.9
vanilla,46,3,1,1,1,Meta-Llama-3.1-8B-Instruct-Q4_K_M,vanilla,long,142,36571,465,1,175,stop,False,75.757,75.757,13.200100320762436,36572.451,78.65043225806451,12.71448829065353,36713,25.0,7.1,0.7,6699.9
